60 3 68.42
58 2.9 75.67
56 2.8 71.1
54 2.7 67.15
52 2.6 72.66
50 2.5 63.37
48 2.4 71.04
46 2.3 70.65
44 2.2 75.77
42 2.1 86.01
40 2 99.38
38 1.9 108.83
36 1.8 117.78
34 1.7 126.58
32 1.6 134.61
30 1.5 147.21
28 1.4 167.61
26 1.3 189.43
24 1.2 183.96
22 1.1 195.45
20 1 189.76
18 0.9 177.91
16 0.8 227.96
14 0.7 237.45
12 0.6 223.82
10 0.5 175.91
8 0.4 107.89
6 0.3 133.51
4 0.2 199.11
2 0.1 259.96
