46 0.011
68 0.011
117 0.009
167 0.009
180 0.010
191 0.011
202 0.011
243 0.012
263 0.003
284 0.008
291 0.008
327 0.003
366 0.006
385 0.002
404 0.002
423 0.002
440 0.001
481 0.002
541 0.004
568 0.007
582 0.004
597 0.004
630 0.003
638 0.006
665 0.004
684 0.003 
713 0.007
726 0.010
731 0.005
750 0.004
761 0.009
770 0.018
795 0.007
821 0.006
856 0.007
891 0.003
900 0.004
624 0.001
929 0.001
946 0.002
966 0.002
984 0.003
1004 0.001
1037 0.002
1058 0.002
1094 0.001
1104 0.001
1123 0.003
1130 0.003
1162 0.009
1175 0.007
1181 0.010
1201 0.003
1220 0.005
1283 0.002
1292 0.004
1348 0.007
1367 0.002
1386 0.004
1431 0.002
1503 0.003
1545 0.003
